Jour,Date,Heure,KwH Restant,Achat KwH
Lundi,14-12-2020,8:00,465.5,0
Lundi,14-12-2020,16:00,372.37,0
Mardi,15-12-2020,8:00,275.75,0
Mardi,15-12-2020,16:00,177.76,0
Mercredi,16-12-2020,8:00,80.98,0
Mercredi,16-12-2020,16:00,598.68,600
Jeudi,17-12-2020,8:00,493.19,0
Jeudi,17-12-2020,16:00,406.97,0
Vendredi,18-12-2020,8:00,307.8,0
Vendredi,18-12-2020,16:00,232.47,0
Samedi,19-12-2020,8:00,161.93,0
Samedi,19-12-2020,13:00,123.95,0
Samedi,19-12-2020,16:00,111.5,0
Lundi,21-12-2020,8:00,3.65,0
Lundi,21-12-2020,17:00,559.17,600
Mardi,22-12-2020,8:00,487.13,0
Mardi,22-12-2020,16:30,391.79,0
Mercredi,23-12-2020,8:00,326.24,0
Mercredi,23-12-2020,17:00,241.38,0
Jeudi,24-12-2020,8:00,199.64,0
Jeudi,24-12-2020,14:00,25.78,0
Vendredi,25-12-2020,11:43,641.99,600
Samedi,26-12-2020,8:00,537.75,0
Samedi,26-12-2020,13:30,522.5,0
Lundi,28-12-2020,8:00,352,0
Lundi,28-12-2020,17:00,245.71,0
Mardi,29-12-2020,8:30,170.86,0
Mardi,29-12-2020,18:00,84,0
Mercredi,30-12-2020,8:00,31.75,600
Mercredi,30-12-2020,17:00,551.53,0
Jeudi,31-12-2020,8:30,483.66,0
Samedi,02-01-2021,8:00,258.55,0
Samedi,02-01-2021,17:40,214.16,0
Lundi,04-01-2021,8:00,80.95,600
Lundi,04-01-2021,16:30,605.83,0
Mardi,05-01-2021,8:00,549.78,0
Mardi,05-01-2021,16:30,476.67,0
Mercredi,06-01-2021,8:00,404.07,0
Mercredi,06-01-2021,16:30,318.22,0
Jeudi,07-01-2021,8:00,240.43,0
Jeudi,07-01-2021,16:30,147.98,0
Vendredi,08-01-2021,8:00,64.7,600
Vendredi,08-01-2021,16:13,580.2,0
Samedi,09-01-2021,8:00,503.8,0
Samedi,09-01-2021,12:00,479.15,0
Lundi,11-01-2021,8:30,305.89,0
Lundi,11-01-2021,16:40,209.5,0
Mardi,12-01-2021,8:00,125.1,0
Mardi,12-01-2021,16:30,99.62,0
Mercredi,13-01-2021,8:30,22.27,0
Mercredi,13-01-2021,16:00,618.79,600
Jeudi,14-01-2021,8:00,548.97,0
Jeudi,14-01-2021,16:00,489.79,0
Vendredi,15-01-2021,8:00,409,0
Vendredi,15-01-2021,16:00,341.99,0
Samedi,16-01-2021,11:00,254.95,0
